(0000,0000)	UL	CommandGroupLength	1	DICOM_2011
(0000,0002)	UI	AffectedSOPClassUID	1	DICOM_2011
(0000,0003)	UI	RequestedSOPClassUID	1	DICOM_2011
(0000,0100)	US	CommandField	1	DICOM_2011
(0000,0110)	US	MessageID	1	DICOM_2011
(0000,0120)	US	MessageIDBeingRespondedTo	1	DICOM_2011
(0000,0600)	AE	MoveDestination	1	DICOM_2011
(0000,0700)	US	Priority	1	DICOM_2011
(0000,0800)	US	CommandDataSetType	1	DICOM_2011
(0000,0900)	US	Status	1	DICOM_2011
(0000,0901)	AT	OffendingElement	1-n	DICOM_2011
(0000,0902)	LO	ErrorComment	1	DICOM_2011
(0000,0903)	US	ErrorID	1	DICOM_2011
(0000,1000)	UI	AffectedSOPInstanceUID	1	DICOM_2011
(0000,1001)	UI	RequestedSOPInstanceUID	1	DICOM_2011
(0000,1002)	US	EventTypeID	1	DICOM_2011
(0000,1005)	AT	AttributeIdentifierList	1-n	DICOM_2011
(0000,1008)	US	ActionTypeID	1	DICOM_2011
(0000,1020)	US	NumberOfRemainingSuboperations	1	DICOM_2011
(0000,1021)	US	NumberOfCompletedSuboperations	1	DICOM_2011
(0000,1022)	US	NumberOfFailedSuboperations	1	DICOM_2011
(0000,1023)	US	NumberOfWarningSuboperations	1	DICOM_2011
(0000,1030)	AE	MoveOriginatorApplicationEntityTitle	1	DICOM_2011
(0000,1031)	US	MoveOriginatorMessageID	1	DICOM_2011
